"DBD381.Code.or.Value","DBD381.Value.Description","DBD381.Count","DBD381.Cumulative","DBD381.Skip.to.Item"
"1 to 5","Range of Values",2016,2016,""
"0","None",294,2310,"DBQ400"
"7777","Refused",0,2310,"DBQ400"
"9999","Don't know",2,2312,"DBQ400"
".","Missing",7837,10149,""
