"DXXPT74X.Code.or.Value","DXXPT74X.Value.Description","DXXPT74X.Count","DXXPT74X.Cumulative","DXXPT74X.Skip.to.Item"
"667.2 to 1201","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
