"WBXA007.Code.or.Value","WBXA007.Value.Description","WBXA007.Count","WBXA007.Cumulative","WBXA007.Skip.to.Item"
"-6.0813 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
