"DS1AN.Code.or.Value","DS1AN.Value.Description","DS1AN.Count","DS1AN.Cumulative","DS1AN.Skip.to.Item"
"1","Yes",196,196,NA
"2","No",8314,8510,NA
"7","Refused",0,8510,NA
"9","Don't know",0,8510,NA
".","Missing",828,9338,NA
