"URXOP6.Code.or.Value","URXOP6.Value.Description","URXOP6.Count","URXOP6.Cumulative","URXOP6.Skip.to.Item"
"0.04 to 34","Range of Values",1949,1949,NA
".","Missing",176,2125,NA
