"URDUA3LC.Code.or.Value","URDUA3LC.Value.Description","URDUA3LC.Count","URDUA3LC.Cumulative","URDUA3LC.Skip.to.Item"
"0","At or above the detection limit",1920,1920,NA
"1","Below lower detection limit",734,2654,NA
".","Missing",101,2755,NA
