"WHQ530.Code.or.Value","WHQ530.Value.Description","WHQ530.Count","WHQ530.Cumulative","WHQ530.Skip.to.Item"
"1","never,",385,385,NA
"2","sometimes, or",264,649,NA
"3","a lot?",45,694,NA
"7","Refused",0,694,NA
"9","Don't know",2,696,NA
".","Missing",731,1427,NA
