"AUXTCOML.Code.or.Value","AUXTCOML.Value.Description","AUXTCOML.Count","AUXTCOML.Cumulative","AUXTCOML.Skip.to.Item"
"0.15 to 5.793","Range of Values",2664,2664,NA
".","Missing",467,3131,NA
