"SSNUCENP.Code.or.Value","SSNUCENP.Value.Description","SSNUCENP.Count","SSNUCENP.Cumulative","SSNUCENP.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
