"LBDBR3LC.Code.or.Value","LBDBR3LC.Value.Description","LBDBR3LC.Count","LBDBR3LC.Cumulative","LBDBR3LC.Skip.to.Item"
"0","At or above the detection limit",284,284,NA
"1","Below lower detection limit",0,284,NA
".","Missing",0,284,NA
