"LBDPFDOL.Code.or.Value","LBDPFDOL.Value.Description","LBDPFDOL.Count","LBDPFDOL.Cumulative","LBDPFDOL.Skip.to.Item"
"0","At or above the detection limit",113,113,NA
"1","Below lower detection limit",2120,2233,NA
".","Missing",199,2432,NA
