"TYXP146.Code.or.Value","TYXP146.Value.Description","TYXP146.Count","TYXP146.Cumulative","TYXP146.Skip.to.Item"
"-291 to 21","Range of Values",6435,6435,NA
".","Missing",2034,8469,NA
