"DRD370JQ.Code.or.Value","DRD370JQ.Value.Description","DRD370JQ.Count","DRD370JQ.Cumulative","DRD370JQ.Skip.to.Item"
"1 to 5","Range of Values",6,6,NA
".","Missing",9538,9544,NA
