"URXUP8.Code.or.Value","URXUP8.Value.Description","URXUP8.Count","URXUP8.Cumulative","URXUP8.Skip.to.Item"
"0.092 to 348","Range of Values",7629,7629,NA
".","Missing",503,8132,NA
