"DBQ235B.Code.or.Value","DBQ235B.Value.Description","DBQ235B.Count","DBQ235B.Cumulative","DBQ235B.Skip.to.Item"
"0","Never",188,188,NA
"1","Rarely-less than once a week",449,637,NA
"2","Sometimes-once a week or more, but less than once a day",1189,1826,NA
"3","Often-once a day or more",2434,4260,NA
"4","Varied",11,4271,NA
"7","Refused",0,4271,NA
"9","Don't know",19,4290,NA
".","Missing",5681,9971,NA
