"PUD034.Code.or.Value","PUD034.Value.Description","PUD034.Count","PUD034.Cumulative","PUD034.Skip.to.Item"
"1","One time only",922,922,NA
"2","Two or more times",54,976,NA
".","Missing",8989,9965,NA
