"SXQ220.Code.or.Value","SXQ220.Value.Description","SXQ220.Count","SXQ220.Cumulative","SXQ220.Skip.to.Item"
"0 to 20","Range of Values",1085,1085,NA
"77777","Refused",0,1085,NA
"99999","Don't know",0,1085,NA
".","Missing",1753,2838,NA
