"PHQ060.Code.or.Value","PHQ060.Value.Description","PHQ060.Count","PHQ060.Cumulative","PHQ060.Skip.to.Item"
"1","Yes",71,71,NA
"2","No",8457,8528,NA
".","Missing",428,8956,NA
