"LBDSF3LC.Code.or.Value","LBDSF3LC.Value.Description","LBDSF3LC.Count","LBDSF3LC.Cumulative","LBDSF3LC.Skip.to.Item"
"0","At or above the detection limit",756,756,NA
"1","Below lower detection limit",7698,8454,NA
".","Missing",968,9422,NA
