"URDNALLC.Code.or.Value","URDNALLC.Value.Description","URDNALLC.Count","URDNALLC.Cumulative","URDNALLC.Skip.to.Item"
"0","At or above the detection limit",4549,4549,NA
"1","Below lower detection limit",3634,8183,NA
".","Missing",1028,9211,NA
