"LBXSCLSI.Code.or.Value","LBXSCLSI.Value.Description","LBXSCLSI.Count","LBXSCLSI.Cumulative","LBXSCLSI.Skip.to.Item"
"86 to 116","Range of Values",6492,6492,NA
".","Missing",498,6990,NA
