"MCQ240R.Code.or.Value","MCQ240R.Value.Description","MCQ240R.Count","MCQ240R.Cumulative","MCQ240R.Skip.to.Item"
"23","23",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9665,9666,NA
