"OSQ030bd.Code.or.Value","OSQ030bd.Value.Description","OSQ030bd.Count","OSQ030bd.Cumulative","OSQ030bd.Skip.to.Item"
"10 to 67","Range of Values",6,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",5405,5411,NA
