"LBDIHGSI.Code.or.Value","LBDIHGSI.Value.Description","LBDIHGSI.Count","LBDIHGSI.Cumulative","LBDIHGSI.Skip.to.Item"
"0.95 to 29.44","Range of Values",4938,4938,NA
".","Missing",877,5815,NA
