"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"25 to 100","Range of Values",13,13,NA
"666","No response",0,13,NA
"888","Could not obtain",0,13,NA
".","Missing",1876,1889,NA
