"LBDVEBLC.Code.or.Value","LBDVEBLC.Value.Description","LBDVEBLC.Count","LBDVEBLC.Cumulative","LBDVEBLC.Skip.to.Item"
"0","Detectable Result",235,235,NA
"1","Below Detectable Lilmit",26,261,NA
"2","Detectable Result and Exceeds the Calibrated Range of 
      Assay",1,262,NA
".","Missing",589,851,NA
