"SDMVSTRA.Code.or.Value","SDMVSTRA.Value.Description","SDMVSTRA.Count","SDMVSTRA.Cumulative","SDMVSTRA.Skip.to.Item"
"59 to 74","Range of Values",10149,10149,NA
".","Missing",0,10149,NA
