"ECQ100.Code.or.Value","ECQ100.Value.Description","ECQ100.Count","ECQ100.Cumulative","ECQ100.Skip.to.Item"
"1","Yes",2390,2390,""
"2","No",1927,4317,"FSQ121"
"7","Refused",0,4317,"FSQ121"
"9","Don't know",4,4321,"FSQ121"
".","Missing",84,4405,""
