"DR2IS140.Code.or.Value","DR2IS140.Value.Description","DR2IS140.Count","DR2IS140.Cumulative","DR2IS140.Skip.to.Item"
"0 to 12.023","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
