"DR1IMFAT.Code.or.Value","DR1IMFAT.Value.Description","DR1IMFAT.Count","DR1IMFAT.Cumulative","DR1IMFAT.Skip.to.Item"
"0 to 85.873","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
