"OPDDMACH.Code.or.Value","OPDDMACH.Value.Description","OPDDMACH.Count","OPDDMACH.Cumulative","OPDDMACH.Skip.to.Item"
"0","No",2371,2371,NA
"1","Questionable",5,2376,NA
"2","Yes",2,2378,NA
".","Missing",556,2934,NA
