"WHD130.Code.or.Value","WHD130.Value.Description","WHD130.Count","WHD130.Cumulative","WHD130.Skip.to.Item"
"53 to 78","Range of Values",2906,2906,NA
"7777","Refused",2,2908,NA
"9999","Don't know",118,3026,NA
".","Missing",3520,6546,NA
