"DS2TIRON.Code.or.Value","DS2TIRON.Value.Description","DS2TIRON.Count","DS2TIRON.Cumulative","DS2TIRON.Skip.to.Item"
"0 to 298","Range of Values",1120,1120,NA
".","Missing",9133,10253,NA
