"DS1TKCAL.Code.or.Value","DS1TKCAL.Value.Description","DS1TKCAL.Count","DS1TKCAL.Cumulative","DS1TKCAL.Skip.to.Item"
"1.7 to 290","Range of Values",1140,1140,NA
".","Missing",9113,10253,NA
