"MPQ090.Code.or.Value","MPQ090.Value.Description","MPQ090.Count","MPQ090.Cumulative","MPQ090.Skip.to.Item"
"1","Yes",1079,1079,NA
"2","No",4331,5410,NA
"7","Refused",0,5410,NA
"9","Don't know",0,5410,NA
".","Missing",1,5411,NA
