"DXDLLTOT.Code.or.Value","DXDLLTOT.Value.Description","DXDLLTOT.Count","DXDLLTOT.Cumulative","DXDLLTOT.Skip.to.Item"
"2798.1 to 39329.3","Range of Values",4649,4649,NA
".","Missing",1043,5692,NA
