"RHQ576Q.Code.or.Value","RHQ576Q.Value.Description","RHQ576Q.Count","RHQ576Q.Cumulative","RHQ576Q.Skip.to.Item"
"1 to 30","Range of Values",86,86,NA
"77","Refused",0,86,NA
"99","Don't know",3,89,NA
".","Missing",3508,3597,NA
