"URDHCTLC.Code.or.Value","URDHCTLC.Value.Description","URDHCTLC.Count","URDHCTLC.Cumulative","URDHCTLC.Skip.to.Item"
"0","At or above detection limit",2519,2519,NA
"1","Below lower detection limit",53,2572,NA
".","Missing",183,2755,NA
