"URXCOTT.Code.or.Value","URXCOTT.Value.Description","URXCOTT.Count","URXCOTT.Cumulative","URXCOTT.Skip.to.Item"
"0.021 to 23700","Range of Values",2685,2685,NA
".","Missing",294,2979,NA
