"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"16 to 38","Range of Values",6349,6349,NA
".","Missing",631,6980,NA
