"DRQSPREP.Code.or.Value","DRQSPREP.Value.Description","DRQSPREP.Count","DRQSPREP.Cumulative","DRQSPREP.Skip.to.Item"
"1","Never",546,546,NA
"2","Rarely",1505,2051,NA
"3","Occasionally",2849,4900,NA
"4","Very Often",4113,9013,NA
"9","Don't know",147,9160,NA
".","Missing",483,9643,NA
