"WBXF025.Code.or.Value","WBXF025.Value.Description","WBXF025.Count","WBXF025.Cumulative","WBXF025.Skip.to.Item"
"749.1535 to 749.1535","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
