"OPASCST1.Code.or.Value","OPASCST1.Value.Description","OPASCST1.Count","OPASCST1.Cumulative","OPASCST1.Skip.to.Item"
"1","Complete",2457,2457,NA
"2","Partial",72,2529,NA
"3","Not done",405,2934,NA
".","Missing",0,2934,NA
