"CIQD020.Code.or.Value","CIQD020.Value.Description","CIQD020.Count","CIQD020.Cumulative","CIQD020.Skip.to.Item"
"1","Yes",42,42,"CIQD021"
"2","No",62,104,""
"7","Refuse",0,104,""
"9","Don't know",5,109,""
".","Missing",669,778,""
