"ENXTR2G.Code.or.Value","ENXTR2G.Value.Description","ENXTR2G.Count","ENXTR2G.Cumulative","ENXTR2G.Skip.to.Item"
"1","Acceptable measurement",5744,5744,NA
"2","Could Not Obtain",88,5832,NA
"3","< 5 ppb",530,6362,NA
"4","> 300 ppb",4,6366,NA
".","Missing",1377,7743,NA
