"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.02 to 9480","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
