"DSDCOUNT.Code.or.Value","DSDCOUNT.Value.Description","DSDCOUNT.Count","DSDCOUNT.Cumulative","DSDCOUNT.Skip.to.Item"
"0 to 18","Range of Values",9969,9969,NA
"77","Refused",1,9970,NA
"99","Don't know",1,9971,NA
".","Missing",0,9971,NA
