"KID028.Code.or.Value","KID028.Value.Description","KID028.Count","KID028.Cumulative","KID028.Skip.to.Item"
"0 to 24","Range of Values",520,520,NA
"777","Refused",0,520,NA
"999","Don't know",15,535,NA
".","Missing",5234,5769,NA
