"URDMB2LC.Code.or.Value","URDMB2LC.Value.Description","URDMB2LC.Count","URDMB2LC.Cumulative","URDMB2LC.Skip.to.Item"
"0","At or above the detection limit",381,381,NA
"1","Below lower detection limit",2788,3169,NA
".","Missing",148,3317,NA
