"OSQ060.Code.or.Value","OSQ060.Value.Description","OSQ060.Count","OSQ060.Cumulative","OSQ060.Skip.to.Item"
"1","Yes",254,254,""
"2","No",4714,4968,"OSQ130"
"7","Refused",0,4968,"OSQ130"
"9","Don't know",11,4979,"OSQ130"
".","Missing",0,4979,""
