"CVDPROT.Code.or.Value","CVDPROT.Value.Description","CVDPROT.Count","CVDPROT.Cumulative","CVDPROT.Skip.to.Item"
"1 to 8","Range of Values",3220,3220,NA
".","Missing",1382,4602,NA
