"AUXU1K2L.Code.or.Value","AUXU1K2L.Value.Description","AUXU1K2L.Count","AUXU1K2L.Cumulative","AUXU1K2L.Skip.to.Item"
"-10 to 110","Range of Values",4299,4299,NA
"666","No response",1,4300,NA
"888","Could not obtain",24,4324,NA
".","Missing",258,4582,NA
