"RDD120.Code.or.Value","RDD120.Value.Description","RDD120.Count","RDD120.Cumulative","RDD120.Skip.to.Item"
"0 to 15","Range of Values",1329,1329,NA
"20","20 or more",2,1331,NA
"7777","Refused",0,1331,NA
"9999","Don't know",0,1331,NA
".","Missing",8314,9645,NA
