"LBDIHGLC.Code.or.Value","LBDIHGLC.Value.Description","LBDIHGLC.Count","LBDIHGLC.Cumulative","LBDIHGLC.Skip.to.Item"
"0","At or above the detection limit",1860,1860,NA
"1","Below lower detection limit",6302,8162,NA
".","Missing",1145,9307,NA
