"BPXPULS.Code.or.Value","BPXPULS.Value.Description","BPXPULS.Count","BPXPULS.Cumulative","BPXPULS.Skip.to.Item"
"1","Regular",9814,9814,NA
"2","Irregular",270,10084,NA
".","Missing",393,10477,NA
