"LBX118LA.Code.or.Value","LBX118LA.Value.Description","LBX118LA.Count","LBX118LA.Cumulative","LBX118LA.Skip.to.Item"
"2 to 361","Range of Values",1926,1926,NA
".","Missing",348,2274,NA
