"DXXWDA.Code.or.Value","DXXWDA.Value.Description","DXXWDA.Count","DXXWDA.Cumulative","DXXWDA.Skip.to.Item"
"0.82 to 1.31","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
