"DXXGYTOM.Code.or.Value","DXXGYTOM.Value.Description","DXXGYTOM.Count","DXXGYTOM.Cumulative","DXXGYTOM.Skip.to.Item"
"2598.2 to 24420.4","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
