"DS2ICOPP.Code.or.Value","DS2ICOPP.Value.Description","DS2ICOPP.Count","DS2ICOPP.Cumulative","DS2ICOPP.Skip.to.Item"
"0.025 to 30","Range of Values",1201,1201,NA
".","Missing",4498,5699,NA
