"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"41 to 81","Range of Values",6730,6730,NA
"7777","Refused",0,6730,NA
"9999","Don't know",104,6834,NA
".","Missing",55,6889,NA
