"LBXVBM.Code.or.Value","LBXVBM.Value.Description","LBXVBM.Count","LBXVBM.Cumulative","LBXVBM.Skip.to.Item"
"0.4384 to 93","Range of Values",3139,3139,NA
".","Missing",406,3545,NA
