"LBCBR11L.Code.or.Value","LBCBR11L.Value.Description","LBCBR11L.Count","LBCBR11L.Cumulative","LBCBR11L.Skip.to.Item"
"1.9 to 25.2","Range of Values",247,247,NA
".","Missing",0,247,NA
