"BIXS025K.Code.or.Value","BIXS025K.Value.Description","BIXS025K.Count","BIXS025K.Cumulative","BIXS025K.Skip.to.Item"
"213.53 to 1027.42","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
