"OHD03LAM.Code.or.Value","OHD03LAM.Value.Description","OHD03LAM.Count","OHD03LAM.Cumulative","OHD03LAM.Skip.to.Item"
"0 to 13","Range of Values",2311,2311,NA
"99","Calculation cannot be determined",491,2802,NA
".","Missing",4328,7130,NA
